00:50:C2:01:20/36,FlowareSyste,Floware System Solutions Ltd.
00:50:C2:01:30/36,SensysTechno,Sensys Technologies Inc.
00:50:C2:01:40/36,Canal       ,Canal +
00:50:C2:01:50/36,LeroyAutomat,Leroy Automation
00:50:C2:01:60/36,DSPDesign   ,DSP Design Ltd.
00:50:C2:01:70/36,HunterTechno,Hunter Technology Inc.
00:50:C2:01:80/36,CADUL       ,CAD-UL GmbH
00:50:C2:01:90/36,EmtacTechnol,Emtac Technology Corp.
00:50:C2:01:A0/36,SkylakeTalix,Skylake Talix
00:50:C2:01:B0/36,CrossProduct,Cross Products Ltd.
00:50:C2:01:C0/36,TadiranScopu,Tadiran Scopus
00:50:C2:01:D0/36,PrincetonGam,Princeton Gamma Tech
00:50:C2:01:E0/36,CallTechInte,CallTech International Limited
00:50:C2:01:F0/36,KBSIndustrie,KBS Industrieelektronik GmbH
00:50:C2:02:00/36,IconResearch,Icon Research Ltd.
00:50:C2:02:10/36,DRSTechnolog,DRS Technologies Canada Co.
00:50:C2:02:20/36,AshlingMicro,Ashling Microsystems Ltd.
00:50:C2:02:30/36,Zabacom     ,"Zabacom, Inc."
00:50:C2:02:40/36,Ipitek      ,Ipitek
00:50:C2:02:50/36,TeracomTelem,Teracom Telematica S.A
00:50:C2:02:60/36,Abatis      ,Abatis Systems Corp.
00:50:C2:02:70/36,IndustrialCo,Industrial Control Links
00:50:C2:02:80/36,Frensch     ,The Frensch Corporation (Pty) Ltd.
00:50:C2:02:90/36,Grossenbache,Grossenbacher Systeme AG
00:50:C2:02:A0/36,VersaLogic  ,VersaLogic Corp.
00:50:C2:02:B0/36,NovaEngineer,Nova Engineering Inc.
00:50:C2:02:C0/36,NarrowbandTe,Narrowband Telecommunications
00:50:C2:02:D0/36,Innocor     ,Innocor LTD
00:50:C2:02:E0/36,TurtleMounta,Turtle Mountain Corp
00:50:C2:02:F0/36,Sinetica    ,Sinetica Corp
00:50:C2:03:00/36,LockheedMart,Lockheed Martin Tactical Defense Systems Eagan
00:50:C2:03:10/36,Eloquence   ,Eloquence Ltd
