00:01:CC         ,JapanTotalDe,"Japan Total Design Communication Co., Ltd."
00:01:CD         ,ARtem       ,ARtem
00:01:CE         ,CustomMicroP,"Custom Micro Products, Ltd."
00:01:CF         ,AlphaDataPar,"Alpha Data Parallel Systems, Ltd."
00:01:D0         ,VitalPoint  ,"VitalPoint, Inc."
00:01:D1         ,CoNetCommuni,"CoNet Communications, Inc."
00:01:D2         ,inXtron     ,"inXtron, Inc."
00:01:D3         ,PAXCOMM     ,"PAXCOMM, Inc."
00:01:D4         ,LeisureTime ,"Leisure Time, Inc."
00:01:D5         ,HaedongInfoC,"Haedong Info & Comm Co., Ltd"
00:01:D6         ,manroland   ,manroland AG
00:01:D7         ,F5Networks  ,"F5 Networks, Inc."
00:01:D8         ,Teltronics  ,"Teltronics, Inc."
00:01:D9         ,Sigma       ,"Sigma, Inc."
00:01:DA         ,WINCOMM     ,WINCOMM Corporation
00:01:DB         ,FreecomTechn,Freecom Technologies GmbH
00:01:DC         ,Activetelco ,Activetelco
00:01:DD         ,AvailNetwork,Avail Networks
00:01:DE         ,Trango      ,"Trango Systems, Inc."
00:01:DF         ,ISDNCommunic,"ISDN Communications, Ltd."
00:01:E0         ,Fast        ,"Fast Systems, Inc."
00:01:E1         ,KinpoElectro,"Kinpo Electronics, Inc."
00:01:E2         ,AndoElectric,Ando Electric Corporation
00:01:E3         ,Siemens     ,Siemens AG
00:01:E4         ,Sitera      ,"Sitera, Inc."
00:01:E5         ,Supernet    ,"Supernet, Inc."
00:01:E6         ,HewlettPacka,Hewlett Packard
00:01:E7         ,HewlettPacka,Hewlett Packard
00:01:E8         ,Force10Netwo,"Force10 Networks, Inc."
00:01:E9         ,LittonMarine,Litton Marine Systems B.V.
00:01:EA         ,Cirilium    ,Cirilium Corp.
00:01:EB         ,CCOM        ,C-COM Corporation
00:01:EC         ,EricssonGrou,Ericsson Group
00:01:ED         ,SETA        ,SETA Corp.
00:01:EE         ,ComtrolEurop,"Comtrol Europe, Ltd."
00:01:EF         ,CamtelTechno,Camtel Technology Corp.
00:01:F0         ,Tridium     ,"Tridium, Inc."
00:01:F1         ,InnovativeCo,"Innovative Concepts, Inc."
00:01:F2         ,MarkUnicorn ,"Mark of the Unicorn, Inc."
00:01:F3         ,QPS         ,"QPS, Inc."
00:01:F4         ,Enterasys   ,Enterasys
00:01:F5         ,Erim        ,Erim S.A.
00:01:F6         ,AssociationM,Association of Musical Electronics Industry
00:01:F7         ,ImageDisplay,"Image Display Systems, Inc."
00:01:F8         ,TexioTechnol,Texio Technology Corporation
